10000 61731
9991 9997 0.01405
9979 9987 0.01854
9963 9992 0.01445
9943 9999 0.01880
9941 9958 0.01898
9934 9948 0.01317
9929 9963 0.01649
9929 9992 0.00389
9912 9980 0.01251
9898 9991 0.01674
9898 9997 0.00474
9895 9975 0.01662
9888 9955 0.00657
9886 9891 0.01873
9883 9905 0.01615
9879 9951 0.01657
9879 9960 0.01503
9854 9909 0.01650
9846 9849 0.01235
9840 9848 0.01745
9834 9989 0.01293
9833 9986 0.00305
9829 9851 0.01919
9826 9912 0.00217
9826 9980 0.01412
9824 9852 0.01539
9820 9974 0.01083
9813 9881 0.01417
9811 9927 0.00696
9805 9914 0.01142
9805 9998 0.01509
9802 9850 0.00559
9791 9797 0.01327
9789 9864 0.01197
9787 9977 0.01730
9784 9843 0.01486
9781 9816 0.00915
9776 9974 0.01958
9774 9930 0.01163
9770 9821 0.01508
9769 9784 0.01763
9764 9885 0.01449
9763 9847 0.01431
9760 9791 0.01800
9758 9772 0.01310
9756 9916 0.01780
9753 9942 0.01926
9751 9859 0.00761
9743 9786 0.01126
9742 9837 0.00882
9738 9862 0.00358
9726 9932 0.01984
9724 9808 0.00697
9723 9764 0.01645
9722 9978 0.01041
9718 9777 0.01966
9714 9726 0.01752
9712 9899 0.01575
9706 9807 0.01703
9705 9964 0.00785
9700 9922 0.01960
9699 9981 0.01087
9698 9924 0.00863
9695 9954 0.01426
9691 9953 0.01503
9687 9765 0.01132
9675 9875 0.00809
9670 9748 0.01540
9670 9884 0.01382
9669 9984 0.01894
9667 9809 0.01678
9660 9929 0.01681
9660 9992 0.01399
9659 9801 0.00656
9657 9917 0.00860
9654 9850 0.01967
9651 9771 0.01652
9649 9670 0.00355
9649 9748 0.01882
9649 9884 0.01212
9648 9866 0.01250
9643 9949 0.01492
9636 9770 0.01936
9630 9751 0.01243
9630 9859 0.01989
9628 9938 0.00567
9627 9662 0.01509
9626 9749 0.00755
9625 9856 0.01846
9623 9635 0.01286
9621 9643 0.01185
9621 9949 0.01416
9618 9858 0.01698
9618 9877 0.00632
9617 9770 0.00796
9617 9821 0.01036
9616 9702 0.00411
9615 9879 0.01854
9612 9720 0.00735
9609 9618 0.01978
9609 9874 0.01693
9606 9699 0.01597
9606 9981 0.01160
9604 9753 0.01616
9604 9942 0.01129
9603 9930 0.01329
9601 9646 0.01086
9600 9692 0.01536
9597 9607 0.01551
9597 9687 0.01847
9593 9827 0.00986
9593 9950 0.01875
9592 9775 0.01522
9591 9668 0.00569
9588 9601 0.01762
9588 9646 0.01567
9587 9690 0.01584
9581 9582 0.01807
9579 9860 0.01753
9578 9757 0.01473
9573 9918 0.01925
9572 9590 0.01199
9571 9750 0.01154
9571 9779 0.01377
9568 9640 0.01843
9567 9721 0.01634
9567 9756 0.00975
9567 9916 0.01195
9564 9627 0.00196
9564 9662 0.01530
9562 9844 0.00147
9560 9746 0.01441
9556 9991 0.01044
9556 9997 0.01730
9548 9645 0.01606
9547 9888 0.01332
9547 9955 0.01415
9546 9821 0.01868
9545 9944 0.01098
9544 9683 0.01460
9542 9898 0.01720
9542 9997 0.01693
9541 9754 0.01643
9540 9615 0.01828
9540 9879 0.01634
9540 9951 0.01289
9539 9630 0.01728
9538 9973 0.01309
9533 9745 0.00399
9529 9780 0.00564
9528 9838 0.00927
9523 9613 0.00408
9520 9585 0.01479
9519 9767 0.01135
9516 9888 0.01484
9516 9955 0.01204
9514 9795 0.01303
9513 9941 0.01994
9513 9958 0.00299
9504 9967 0.00973
9503 9591 0.01473
9503 9668 0.01377
9496 9705 0.01619
9496 9964 0.00934
9494 9853 0.01147
9493 9553 0.01180
9492 9510 0.01793
9491 9814 0.00742
9490 9715 0.00262
9488 9899 0.01908
9485 9498 0.00886
9484 9684 0.01559
9483 9986 0.01998
9482 9744 0.01567
9480 9782 0.01891
9478 9839 0.00374
9477 9824 0.01834
9474 9557 0.01700
9473 9819 0.00632
9467 9675 0.01890
9466 9500 0.00966
9465 9954 0.01919
9463 9558 0.01809
9463 9785 0.01791
9460 9897 0.01640
9458 9923 0.01999
9457 9725 0.01762
9456 9685 0.00217
9454 9575 0.01229
9453 9807 0.00830
9452 9994 0.01440
9450 9574 0.01551
9445 9626 0.00660
9445 9749 0.01334
9443 9532 0.00415
9441 9537 0.01832
9439 9746 0.01460
9438 9493 0.01740
9438 9553 0.01546
9437 9748 0.01854
9437 9884 0.01712
9433 9591 0.01945
9433 9668 0.01903
9430 9886 0.01582
9430 9891 0.00961
9429 9564 0.00972
9429 9627 0.01129
9429 9755 0.01114
9428 9468 0.00781
9428 9470 0.01786
9426 9809 0.01565
9425 9457 0.01777
9424 9810 0.01125
9423 9513 0.01344
9423 9941 0.01533
9423 9958 0.01062
9422 9782 0.01106
9418 9689 0.00136
9417 9740 0.01140
9414 9987 0.01306
9413 9712 0.01664
9413 9731 0.01927
9410 9718 0.00974
9410 9923 0.01684
9409 9419 0.01465
9408 9982 0.01864
9406 9790 0.00820
9403 9550 0.01868
9401 9794 0.01981
9400 9512 0.00594
9400 9854 0.01483
9399 9778 0.01195
9396 9568 0.01356
9396 9638 0.00655
9394 9663 0.01258
9389 9471 0.01006
9388 9785 0.01419
9387 9421 0.01131
9387 9441 0.01819
9387 9537 0.01879
9386 9496 0.01606
9386 9705 0.00161
9386 9964 0.00721
9385 9569 0.01037
9380 9558 0.01909
9378 9945 0.01666
9376 9464 0.01398
9373 9559 0.01304
9370 9497 0.01676
9367 9612 0.01611
9366 9654 0.01461
9366 9802 0.01276
9366 9850 0.01493
9365 9599 0.00641
9364 9665 0.00714
9362 9790 0.01795
9361 9519 0.01619
9360 9586 0.01453
9359 9639 0.01518
9352 9976 0.01213
9350 9836 0.00826
9348 9666 0.01559
9348 9799 0.01227
9347 9758 0.01147
9347 9772 0.01323
9346 9404 0.00680
9345 9507 0.01577
9345 9568 0.01093
9345 9640 0.01741
9344 9465 0.00973
9344 9954 0.01510
9342 9669 0.00653
9342 9984 0.01802
9340 9687 0.01829
9340 9765 0.00795
9338 9943 0.01688
9338 9999 0.00375
9337 9544 0.01946
9337 9683 0.01223
9337 9688 0.01042
9336 9479 0.01471
9335 9915 0.01493
9330 9486 0.00037
9327 9651 0.00662
9327 9771 0.01587
9326 9552 0.01668
9323 9924 0.01551
9319 9610 0.01853
9318 9747 0.01883
9317 9588 0.01378
9315 9427 0.00500
9314 9373 0.01112
9314 9559 0.01394
9313 9469 0.01230
9311 9579 0.00990
9311 9788 0.01961
9310 9373 0.01577
9309 9694 0.01615
9309 9858 0.01896
9308 9605 0.01822
9307 9962 0.01800
9306 9372 0.01194
9305 9428 0.00134
9305 9468 0.00666
